,Latitude,Longitude,Type
0,41.95469,-87.800991,Trap
2,41.994991,-87.769279,Trap
3,41.974089,-87.824812,Trap
5,41.9216,-87.666455,Trap
6,41.891118,-87.65449100000001,Trap
7,41.867108,-87.654224,Trap
9,41.896282,-87.655232,Trap
10,41.919343,-87.694259,Trap
11,41.921965,-87.632085,Trap
13,41.688324,-87.676709,Trap
15,41.862292,-87.64886,Trap
16,41.720848,-87.666014,Trap
17,41.731922,-87.677512,Trap
19,41.891126,-87.61156,Trap
21,41.999128999999996,-87.795585,Trap
22,42.01743,-87.68776899999999,Trap
23,41.907645,-87.760886,Trap
24,41.732984,-87.649642,Trap
50,41.981964000000005,-87.812827,Trap
51,41.944869,-87.832763,Trap
52,42.011601,-87.81150600000001,Trap
53,41.94983,-87.69845699999999,Trap
54,41.979243,-87.750938,Trap
55,41.986921,-87.689778,Trap
56,41.801497999999995,-87.763416,Trap
57,41.906638,-87.701431,Trap
58,41.723195000000004,-87.64997,Trap
59,41.868077,-87.666901,Trap
61,41.869215999999994,-87.627561,Trap
62,41.662014,-87.72460799999999,Trap
65,41.961743,-87.76007,Trap
67,41.953067,-87.776792,Trap
69,41.878114000000004,-87.629798,Trap
70,41.958271,-87.702575,Trap
72,41.932094,-87.700117,Trap
73,41.994469,-87.667736,Trap
74,42.006858,-87.675919,Trap
75,41.916265,-87.800515,Trap
77,41.846075,-87.716277,Trap
78,41.918704999999996,-87.752329,Trap
79,41.682587,-87.707973,Trap
81,41.725516999999996,-87.61425799999999,Trap
82,41.948167,-87.730698,Trap
84,41.963976,-87.69181,Trap
136,41.953705,-87.733974,Trap
137,41.964242,-87.757639,Trap
138,41.990284,-87.797127,Trap
140,42.008314,-87.77792099999999,Trap
141,41.991429,-87.747113,Trap
142,41.843810999999995,-87.686763,Trap
143,41.921177,-87.79518,Trap
144,41.852652,-87.719887,Trap
146,41.857402,-87.694991,Trap
147,41.868142,-87.696269,Trap
149,41.846283,-87.656913,Trap
150,41.721474,-87.648064,Trap
151,41.869107,-87.69629300000001,Trap
152,41.719059,-87.675088,Trap
154,41.966986999999996,-87.674677,Trap
