,Date,Species,Trap,Longitude,Latitude,Unnamed: 0,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
0,2007-05-29,CULEX PIPIENS/RESTUANS,T002,-87.800991,41.95469,0,78.9,57.3,68.3,5.7,49.0,57.8,1.3,4.6,423.1,1913.9,"['RA', 'HZ', 'BR', 'TSRA']",0.0,0.0,0.0,0.1,29.4,30.1,8.0,15.9,9.8
1,2007-05-29,CULEX RESTUANS,T002,-87.800991,41.95469,0,78.9,57.3,68.3,5.7,49.0,57.8,1.3,4.6,423.1,1913.9,"['RA', 'HZ', 'BR', 'TSRA']",0.0,0.0,0.0,0.1,29.4,30.1,8.0,15.9,9.8
2,2007-05-29,CULEX RESTUANS,T007,-87.769279,41.994991,0,78.9,57.3,68.3,5.7,49.0,57.8,1.3,4.6,423.1,1913.9,"['RA', 'HZ', 'BR', 'TSRA']",0.0,0.0,0.0,0.1,29.4,30.1,8.0,15.9,9.8
3,2007-05-29,CULEX PIPIENS/RESTUANS,T015,-87.824812,41.974089,0,78.9,57.3,68.3,5.7,49.0,57.8,1.3,4.6,423.1,1913.9,"['RA', 'HZ', 'BR', 'TSRA']",0.0,0.0,0.0,0.1,29.4,30.1,8.0,15.9,9.8
4,2007-05-29,CULEX RESTUANS,T015,-87.824812,41.974089,0,78.9,57.3,68.3,5.7,49.0,57.8,1.3,4.6,423.1,1913.9,"['RA', 'HZ', 'BR', 'TSRA']",0.0,0.0,0.0,0.1,29.4,30.1,8.0,15.9,9.8
5,2007-05-29,CULEX RESTUANS,T045,-87.666455,41.9216,0,78.9,57.3,68.3,5.7,49.0,57.8,1.3,4.6,423.1,1913.9,"['RA', 'HZ', 'BR', 'TSRA']",0.0,0.0,0.0,0.1,29.4,30.1,8.0,15.9,9.8
6,2007-05-29,CULEX RESTUANS,T046,-87.65449100000002,41.891118,0,78.9,57.3,68.3,5.7,49.0,57.8,1.3,4.6,423.1,1913.9,"['RA', 'HZ', 'BR', 'TSRA']",0.0,0.0,0.0,0.1,29.4,30.1,8.0,15.9,9.8
7,2007-05-29,CULEX PIPIENS/RESTUANS,T048,-87.654224,41.867108,0,78.9,57.3,68.3,5.7,49.0,57.8,1.3,4.6,423.1,1913.9,"['RA', 'HZ', 'BR', 'TSRA']",0.0,0.0,0.0,0.1,29.4,30.1,8.0,15.9,9.8
8,2007-05-29,CULEX RESTUANS,T048,-87.654224,41.867108,0,78.9,57.3,68.3,5.7,49.0,57.8,1.3,4.6,423.1,1913.9,"['RA', 'HZ', 'BR', 'TSRA']",0.0,0.0,0.0,0.1,29.4,30.1,8.0,15.9,9.8
9,2007-05-29,CULEX RESTUANS,T049,-87.655232,41.896282,0,78.9,57.3,68.3,5.7,49.0,57.8,1.3,4.6,423.1,1913.9,"['RA', 'HZ', 'BR', 'TSRA']",0.0,0.0,0.0,0.1,29.4,30.1,8.0,15.9,9.8
